gene.id	log.fc	test.stat	p.value	q.value
YIL057C	10.0177836708838	2225.64574782753	0	0
YMR175W	9.36073198614723	1768.36639814392	0	0
YJR095W	9.35292247787729	2300.00802854216	0	0
YMR107W	9.00706119962465	2566.59990906347	0	0
YKL217W	8.51015140187006	1760.14663428394	0	0
YPL201C	7.58771779481524	1845.45797717232	0	0
YGL205W	7.00351140183981	2514.91039539423	0	0
YCR010C	6.94492769297741	1837.46017542574	0	0
YAL054C	6.82523113534633	2520.54864881077	0	0
YBR067C	6.40169075165459	1696.41803171815	0	0
YIL160C	6.05894506532169	2072.24163557837	0	0
YDL085W	5.61479919554965	1898.95759700002	0	0
YLR174W	5.39115695036797	1739.63410354793	0	0
YDR256C	5.31510821734351	2200.56970349713	0	0
YKR009C	5.26657129525711	1934.11683889371	0	0
YGR067C	5.09285154142975	1497.26355198614	0	0
YFL030W	4.89473016620179	1530.60525560326	0	0
YKL187C	4.65743659481228	1505.24097751571	0	0
YDR384C	4.51142969066213	1785.86923640398	0	0
YPR001W	4.48587908866958	1543.72444756395	0	0
YIL136W	4.99316482557916	1466.35955727711	7.98904149325296e-321	2.48877664042194e-318
YOL126C	5.1323256385735	1464.66615046253	1.86460374740486e-320	5.54465171045339e-318
YLR312C	5.47519169128136	1425.29424623434	6.69839122057358e-312	1.90525545065184e-309
YGL121C	5.60987586993448	1411.72094509403	5.96280105582155e-309	1.62536018779936e-306
YGR289C	4.1161383866473	1400.399821378	1.72007358571517e-306	4.50108855909946e-304
YML042W	5.1087799749213	1388.01080251103	8.46671875649279e-304	2.13035669634523e-301
YDR345C	-3.99362128437614	1381.36283818221	2.35691154786818e-302	5.71070938746432e-300
YER015W	4.30072028718575	1359.84551468789	1.11731300703783e-297	2.61052203287197e-295
YOR348C	5.09007450499375	1358.22419652924	2.51477013797348e-297	5.67297456642155e-295
YAL062W	3.91615212536531	1356.04836715417	7.47001150171107e-297	1.62896050813979e-294
YGR243W	5.0562280889148	1350.200030637	1.39382599709323e-295	2.94142247515611e-293
YBR072W	7.47382709242833	1343.65386689866	3.68759950038172e-294	7.53883622859287e-292
