gene.id	log.fc	test.stat	p.value	q.value
YOR374W	6.5430826254605	2465.26777981085	0	0
YKL217W	8.61169694505308	1030.39815230119	4.43507744202417e-226	1.58021809259321e-222
YAL054C	6.46500539444976	865.061587657675	3.86526201010784e-190	9.18128569467615e-187
YDR343C	5.24296456959711	612.57796304658	3.07637123420499e-135	5.48055535373619e-132
YFL014W	5.11411087633508	522.985724744311	9.48334341779578e-116	1.35156610390425e-112
YBR067C	6.42395207526941	504.497115333021	9.98843467442819e-112	1.18629309149959e-108
YDR342C	4.67872936817566	500.816722670695	6.31347135600429e-111	6.42711384041236e-108
YIL136W	5.44109311107548	461.810359160553	1.94056194990981e-102	1.72855555688217e-99
YIL155C	4.65286416631443	420.218437140364	2.18726230508399e-93	1.7318256873365e-90
YBR072W	7.54055993858738	418.725376253624	4.6225773763226e-93	3.29404863836749e-90
YML128C	5.03161923382002	385.252896820292	8.94012143771436e-86	5.79157321501386e-83
YHR096C	6.89209760379228	384.616331211131	1.23006804896859e-85	7.3045540974585e-83
YJR009C	-1.69045473557651	365.129631463662	2.15101317535607e-81	1.17908614519903e-78
YBR054W	5.52836230170967	359.508221469142	3.60302703197237e-80	1.83394075927394e-77
YLR058C	-2.36587370036875	351.413656224253	2.08592017036601e-78	9.90951142268548e-76
YPL223C	10.0730514087582	349.586530995671	5.21408958204819e-78	2.32222514760471e-75
YDR384C	4.76324443781028	342.791262761122	1.57394819018088e-76	6.59762047248761e-74
YDR345C	-3.50934448537081	340.005108971237	6.36440720013363e-76	2.51959809489735e-73
YCL040W	3.84584855747663	281.42241472043	3.67815547581574e-63	1.37950189056121e-60
YKR009C	4.33431936497751	274.749710365331	1.04655804786353e-61	3.72888632453775e-59
YGL205W	7.45363324969419	271.120512623674	6.46696111784604e-61	2.19445547265576e-58
YDR256C	5.31967545649216	269.685835811521	1.32855675790393e-60	4.3033161167379e-58
YLR249W	-1.12390136730831	256.382587228208	1.05450011395279e-57	3.26711644001201e-55
YMR303C	3.25311718557606	246.895665987611	1.23375549880205e-55	3.66322570185974e-53
YHR092C	-3.60566372555611	245.876493271521	2.05793060079192e-55	5.86592538449729e-53
YBL075C	6.86211679798472	245.095832750931	3.04532768170051e-55	8.34654040761454e-53
YNL036W	3.09953636892779	242.351641329025	1.20768297135718e-54	3.18738846440418e-52
YFR053C	4.88074020426649	238.670225103314	7.6675937862705e-54	1.95140261860584e-51
YLR174W	5.04356743626429	223.413487417	1.62869726043808e-50	4.00210230271784e-48
YMR107W	6.63301701387451	220.697418265919	6.37176799427168e-50	1.513507290906e-47
YLR327C	5.8231292019562	219.162513791306	1.37740684616041e-49	3.1662584470126e-47
YIL057C	8.67779702449649	216.694249336747	4.75856960706632e-49	1.05967396937358e-46
YOL086C	-1.48129609043578	204.519802218502	2.15557667597537e-46	4.65473921000016e-44
YDR171W	3.82053010925653	200.571099019847	1.56749504267638e-45	3.2852851982682e-43
YML042W	7.02406916091886	198.665685914054	4.08332413591995e-45	8.31364794073302e-43
YCR010C	5.60664379611285	191.189306518093	1.74878039011041e-43	3.46161362775744e-41
YEL060C	2.7784794205588	188.923253320207	5.46216744711204e-43	1.05198392508434e-40
YMR175W	6.72311631448313	183.804920641834	7.15646595407026e-42	1.3420256944396e-39
YPL240C	1.68598800968831	182.996647088204	1.07438471128872e-41	1.96309370580601e-39
YBR169C	4.23746733641954	181.541157068123	2.23321714304138e-41	3.97847634032822e-39
YKL187C	4.51548824484666	180.598033756834	3.58795061970012e-41	6.23603319902026e-39
YEL040W	-3.89938731858408	179.926870181987	5.02791052776952e-41	8.53068819544895e-39
YKL148C	2.69079324473444	178.407947020083	1.0790422020477e-40	1.78819877483533e-38
YAL005C	1.71148316238371	172.681583385939	1.92091463306892e-39	3.11100856255662e-37
YPL036W	5.02772190890256	172.181393483014	2.47027737853709e-39	3.91182146654563e-37
YBR026C	5.44716802563488	171.335107002363	3.78070084215605e-39	5.85679873939218e-37
YOR348C	5.20278936304686	170.543177806823	5.63030754702465e-39	8.53650459151014e-37
YBR117C	4.55064797365666	170.175862318801	6.77261700414702e-39	1.00545143274066e-36
YOR063W	-1.06973654921031	169.353307941993	1.02426426889762e-38	1.4895728939111e-36
YGL234W	-1.88661133483301	166.296741363408	4.76481678097506e-38	6.79081687624566e-36
YFL030W	4.59180153534483	163.815220760064	1.66007568586923e-37	2.3195488897067e-35
YDL215C	3.15521617368246	160.343369405247	9.51977634525793e-37	1.30457550454439e-34
YNR001C	1.85912924632752	159.860280329661	1.2138792349682e-36	1.63209498648743e-34
YLL041C	3.1581167776227	158.895132552805	1.97266637004889e-36	2.60318899129044e-34
YGR043C	5.37769177376245	158.542984799355	2.35503544283344e-36	3.05126955738747e-34
YEL071W	-1.93569568393421	157.469405786008	4.04184335662308e-36	5.14324567130287e-34
YML131W	3.18028271360205	152.789332274195	4.25906461425951e-35	5.32457797214268e-33
YNR016C	1.25991915760649	152.577007728706	4.73934207136288e-35	5.82285372422963e-33
YLL026W	2.74331637646826	148.38639599682	3.90541775941425e-34	4.71695033111627e-32
YIL160C	6.422622744701	147.619237247839	5.74598842834113e-34	6.82431892339314e-32
YDL223C	3.47186425017762	147.522803642129	6.03177422575963e-34	7.04629887422347e-32
YER103W	3.25895757237863	146.200414018161	1.17362093756503e-33	1.34890690340136e-31
YML054C	3.05487521131684	145.587874886545	1.59749180465129e-33	1.80694073015001e-31
YOL052C-A	5.69312065631113	145.028376534934	2.11717687530775e-33	2.35734412710047e-31
YJL116C	4.05526452532862	144.777575453273	2.40208698789668e-33	2.63342644242334e-31
YMR120C	-2.04352783136458	144.2111672073	3.19464443803984e-33	3.4492479190109e-31
YGR256W	5.8436875870315	140.876677727849	1.71201951911893e-32	1.82087329749874e-30
YNL160W	4.99057129251818	140.568157132082	1.99973590966072e-32	2.09560560180034e-30
YOR027W	1.64767827900703	134.642922901334	3.95222218642219e-31	4.08167178267312e-29
YPL131W	-1.2953467985478	134.508444165265	4.22918728645677e-31	4.30531265761299e-29
YGR292W	4.43969070892054	132.761073577947	1.01974604231022e-30	1.02348032359192e-28
YER065C	4.33985285222027	131.804573008714	1.65097591529754e-30	1.63400755172365e-28
YPL004C	2.13854463891226	130.041981409531	4.01201960023417e-30	3.91639063989982e-28
YLL039C	1.9347468098634	129.037688937747	6.65427651638039e-30	6.40788843996307e-28
YOL155C	2.47867970775647	128.289264558572	9.70204647478111e-30	9.21823775723869e-28
YNL178W	-1.37515259945234	127.618008057067	1.36065141304629e-29	1.27578973281156e-27
YGL123W	-1.51551230401921	125.986411330803	3.0959597378325e-29	2.86517001192135e-27
YPL186C	5.35634396657365	124.609469335806	6.19646689907329e-29	5.6610286054867e-27
YNR002C	8.13594145927701	122.443140622477	1.84631341206935e-28	1.66542143979826e-26
YGR161C	4.07029679985079	120.890893639138	4.03736704725461e-28	3.59628469734204e-26
YKL182W	1.33947181626409	120.369583143965	5.2507680627996e-28	4.61937940932222e-26
YPR001W	5.4478110619654	120.266298046904	5.53139074211809e-28	4.80691346686994e-26
YJL153C	4.53441034339607	119.128202917871	9.81748150302104e-28	8.4288401434371e-26
YNL014W	4.43979510891625	117.741964360211	1.97477859854545e-27	1.67527051109939e-25
YLR180W	-2.53470761647301	117.521939913852	2.20645790791566e-27	1.84979047668318e-25
YMR011W	1.92231471718617	114.013749013131	1.29408081256386e-26	1.07228138027094e-24
YBR031W	-1.30008720950323	113.615491719761	1.58193598962383e-26	1.29573285770798e-24
YJR095W	8.01060992817084	113.502098822616	1.67503941396137e-26	1.35640123453281e-24
YGL147C	-1.89441944469468	113.195112354889	1.95552988281988e-26	1.56574224100836e-24
YER024W	2.98304505264401	112.756192682093	2.44007949203663e-26	1.93200071780589e-24
YMR191W	3.28678894730717	111.005183581941	5.90161854778911e-26	4.6214212935764e-24
YER015W	4.38647933619947	109.240158227048	1.43767747999055e-25	1.11357496982746e-23
YOR388C	4.72440848330069	108.998378514248	1.62418677267931e-25	1.24451128409815e-23
YER091C	-1.40313918900496	108.779044595466	1.81423455769242e-25	1.37534419767193e-23
YFL026W	-2.44464405085891	106.925356308529	4.62256249637787e-25	3.46740845780934e-23
YGL156W	3.80372773371664	106.052819509408	7.17958010697874e-25	5.3293424835761e-23
YIL162W	2.88131444540329	105.767764630168	8.29033010611134e-25	6.09040127176798e-23
YHR010W	-1.73499064334526	103.477336231137	2.63389979688486e-24	1.91522142373485e-22
YHL032C	2.81429994122198	103.386756087398	2.75711659205348e-24	1.98456695302759e-22
YBR189W	-1.47507625603191	100.36202051044	1.26939000299001e-23	9.04567316130679e-22
YPL147W	4.63074965026338	100.086585302355	1.45878227058711e-23	1.02923588714888e-21
YDR074W	2.51235598095766	99.9448460924382	1.56700586657193e-23	1.09475331423447e-21
YKL081W	-1.71098438774666	99.8790111279368	1.61996957309601e-23	1.12076729882351e-21
YDR258C	1.7296507041695	99.7433332010193	1.73483623598198e-23	1.18869644400073e-21
YOL126C	6.26494519502449	99.5224941843702	1.93947939951842e-23	1.31626001913984e-21
YPL090C	-1.24069097378571	99.4477622086948	2.01406279045785e-23	1.35398221177383e-21
YEL011W	3.72682330166965	98.9202139827721	2.62882354502524e-23	1.75074734409811e-21
YEL041W	3.59603439618155	98.008628853678	4.16563385951782e-23	2.74854693360408e-21
YGR244C	2.08477415087843	97.5034562019617	5.37623481174197e-23	3.51477516224525e-21
YJL045W	4.73157076745005	96.1356262054652	1.07276904812445e-22	6.94959294266801e-21
YBR149W	2.59968063288642	95.9111509388013	1.20156698472914e-22	7.71384354340526e-21
YGR088W	4.57167623240386	93.9657337472573	3.21033681548305e-22	2.04257679885109e-20
YMR217W	-1.82021646853281	92.0334603358807	8.52232558039864e-22	5.37434443238236e-20
YMR110C	2.72690928132487	91.6986844173561	1.0093197074029e-21	6.30913353943251e-20
YPR002W	2.71965176556206	91.3457890685685	1.20636553277834e-21	7.47527024919864e-20
YGR142W	2.67366755358487	91.2890236906929	1.24147375758783e-21	7.62650172118179e-20
YDR502C	-1.42463836004785	91.1814190857361	1.31085412622235e-21	7.98388590039355e-20
YGR289C	3.50025959733529	89.6146652523368	2.89371169848879e-21	1.74750759012128e-19
YOR285W	1.87330896251718	88.7766935046056	4.41992806542946e-21	2.64675692388658e-19
YDL085W	4.63109678211443	88.5972870128661	4.83952466176574e-21	2.87387106164522e-19
YKL163W	5.14723374438681	87.6915446401489	7.6500723056946e-21	4.50532357441155e-19
YER102W	-1.40853647553166	85.4154998260562	2.41817638708841e-20	1.41245286347476e-18
YHR208W	-1.60606832193386	84.3460082616141	4.15336619632531e-20	2.40625101748083e-18
YOR096W	-1.4015754459673	83.8799951414868	5.25738419968812e-20	3.02129998443367e-18
YBL015W	2.17526342711034	83.6067062620185	6.03679306358739e-20	3.4414549896899e-18
YKL029C	-2.05592771007244	83.4318510721178	6.59507808301502e-20	3.72988304917183e-18
YGL008C	-1.11820872509854	82.4824307881419	1.06613587121533e-19	5.98211355770113e-18
YJR010W	-1.84092196268311	82.1983986467821	1.23089560379697e-19	6.85262661926347e-18
YOR173W	4.27748900453914	82.0650591902662	1.31680038939099e-19	7.27404618201563e-18
YGR243W	5.62984888782648	81.9521780619888	1.3941958455752e-19	7.64233815043758e-18
YFR031C-A	-1.29976256731984	81.8716514788965	1.45217335686307e-19	7.89937964962307e-18
YJR145C	-1.1534197630833	81.6070748119021	1.66018771684502e-19	8.96249823502851e-18
YPR006C	3.47197605175517	81.2754277777382	1.96352853530821e-19	1.05203792049671e-17
YNL220W	-1.80578702663999	80.0426213379988	3.66419938332264e-19	1.94858841832516e-17
YGR067C	4.56777541085599	79.5932213950067	4.60001015005014e-19	2.42812387624128e-17
YLR359W	-1.93063212564251	78.8974604713925	6.54187962409947e-19	3.42460309905141e-17
YLR048W	-1.56314441295957	78.8848034395666	6.58392681125517e-19	3.42460309905141e-17
