log.fc	test.stat	p.value	q.value	probe.id	gene.id
-10.1114698121904	-108.929580841474	9.47765160656237e-14	1.03571776756514e-09	1772391_at	YIL057C
-8.47382734668662	-89.8655010292243	4.27707852684867e-13	2.33699570707012e-09	1774122_at	YOR388C
-8.99086613666265	-80.6988116037948	9.93223652669337e-13	3.61798269212351e-09	1774070_at	YMR303C
-7.3044488440205	-72.7026363950615	2.24818946920238e-12	5.71704864462008e-09	1776153_at	YMR206W
-8.5775132585497	-71.3096382839651	2.61577994354872e-12	5.71704864462008e-09	1774072_at	YJR095W
-8.08140116381569	-69.0972607922344	3.3476139167844e-12	5.88118438334011e-09	1776304_at	YDR256C
-8.4447689520665	-67.7726869015599	3.89517513493596e-12	5.88118438334011e-09	1770580_at	YCR010C
-8.92603719833694	-66.4444595586983	4.54778685978108e-12	5.88118438334011e-09	1774019_at	YMR175W
-4.89512160638895	-65.911594620527	4.84358157485917e-12	5.88118438334011e-09	1776285_at	YOR348C
-6.05332255891755	-61.7034949118274	8.11641706498403e-12	8.52153600574959e-09	1776791_at	YGL205W
-4.34392230325285	-61.2691003840137	8.57768082569962e-12	8.52153600574959e-09	1776944_at	YGR289C
-7.33648434924977	-58.5874476914332	1.21737912879508e-11	1.10862659328938e-08	1775070_at	YPL201C
-4.31988374811842	-56.2737013569142	1.66839291854665e-11	1.40247675491368e-08	1769308_at	YKR009C
-4.48941720051187	-53.6312357520289	2.43020568102843e-11	1.89694912016276e-08	1777556_at	YIL155C
-4.70912712653633	-51.3042400239231	3.43764208750891e-11	2.50443684881983e-08	1775925_at	YIL136W
-4.8333088313147	-50.5467306344129	3.86154471527552e-11	2.58651183507833e-08	1774081_at	YOL126C
-5.25233428949607	-50.1638945263321	4.09798550036025e-11	2.58651183507833e-08	1770887_at	YKL187C
-4.49059957193194	-49.5836826308646	4.48809328949794e-11	2.58651183507833e-08	1774377_at	YML042W
-4.86980048208866	-49.5447576313277	4.51572706528383e-11	2.58651183507833e-08	1770767_at	YFL030W
-7.37791687861131	-49.2467856990382	4.73373322671729e-11	2.58651183507833e-08	1776680_at	YGR236C
-6.03089325401516	-48.432662761821	5.39241339722078e-11	2.80610921927756e-08	1776576_at	YKL093W
