""	"b1"	"b2"	"b3"	"c1"	"c2"	"c3"
"YHR055C"	0	0	0	0	0	0
"YPR161C"	4	10	5	9	5	16
"YOL138C"	3	13	7	6	5	10
"YDR395W"	21	36	16	11	3	6
"YGR129W"	1	1	1	0	2	0
"YPR165W"	33	31	24	26	23	37
"YPR098C"	6	2	4	6	8	11
"YPL015C"	3	11	5	5	6	7
"YCL050C"	14	28	24	8	9	17
"YAL069W"	1	0	0	0	0	0
"YMR193W"	11	3	4	5	6	6
"YLR031W"	0	0	0	4	3	2
"YIL014C-A"	3	4	2	1	1	4
"YGR053C"	1	1	0	0	0	3
"YCR101C"	1	0	0	0	0	0
"YER087C-B"	7	5	4	2	2	3
"YOR280C"	4	6	4	6	6	3
"YGR097W"	7	10	10	7	10	13
"YHR215W"	3	4	2	1	5	1
"YKL025C"	9	12	7	6	9	7
"YKR011C"	7	6	4	3	6	2
"YEL004W"	2	1	0	2	1	1
"YJL200C"	104	123	115	36	59	71
"YLL027W"	9	8	4	6	6	12
"YOR024W"	0	0	0	0	0	0
"YLR045C"	13	8	8	2	4	8
"YDR348C"	15	12	4	9	5	6
"YPL183C"	19	21	7	3	8	8
"YGR003W"	11	8	5	1	6	7
"YEL008C-A"	0	0	0	0	0	0
"YBL095W"	6	6	2	4	3	4
"YGL060W"	3	8	1	2	3	6
"YLL007C"	3	2	3	4	2	5
"YEL009C"	91	114	70	115	129	139
"YEL015W"	11	19	8	13	10	9
"YOR083W"	2	3	0	1	3	3
"YBR252W"	12	3	5	2	4	6
"YDR329C"	10	10	7	15	18	22
"YDL202W"	5	13	10	4	2	3
"YHR209W"	1	1	1	4	3	8
"YPR008W"	6	13	6	15	10	18
"YER075C"	7	7	5	3	12	7
"YDL203C"	3	11	3	5	4	7
"YBR050C"	1	0	0	1	1	3
"YMR197C"	4	4	7	4	14	16
"YDR261W-A"	0	0	0	0	0	0
"YBL049W"	0	0	0	9	2	10
"YER054C"	2	1	2	11	30	37
"YDR305C"	1	4	1	2	6	6
"YHL019W-A"	0	0	0	0	0	0
"YNL201C"	3	7	5	4	3	7
"YHR180W-A"	0	0	0	0	0	0
"YCR061W"	6	2	3	1	5	8
"YBR206W"	1	2	1	0	0	2
"YPL171C"	0	0	2	0	13	21
"YHR051W"	20	22	15	20	21	33
"YDL116W"	10	15	10	6	2	11
"YPR124W"	2	7	10	6	9	20
"YJL023C"	1	0	2	1	2	4
"YGL167C"	16	31	19	12	15	19
"YDL165W"	5	5	2	0	4	4
"YLR154C-H"	0	0	0	0	0	0
"YPL119C-A"	1	0	0	0	3	0
"YIL143C"	6	20	8	12	12	16
"YBR292C"	0	0	1	0	0	0
"YGR240C"	90	120	118	50	65	66
"YOR094W"	1	4	1	2	0	2
"YDR167W"	9	9	4	3	3	4
"YBR063C"	4	2	2	2	2	2
"YER052C"	40	68	54	19	38	47
"YGR178C"	25	31	30	20	25	28
"YPL118W"	9	10	5	5	12	14
"YPR187W"	24	25	15	8	10	12
"YJL065C"	0	0	0	0	0	2
"YOL141W"	0	2	1	2	1	0
"YPR086W"	19	16	15	9	9	17
"YBR122C"	12	11	7	4	7	8
"YBR271W"	8	8	6	0	3	1
"YBR279W"	15	11	8	12	8	11
"YHR095W"	0	0	1	0	0	0
"YMR221C"	13	24	10	4	7	8
"YDR241W"	0	0	0	0	0	0
"YJL221C"	1	0	1	3	2	2
"YER130C"	7	6	2	3	2	5
"YBR155W"	3	8	10	0	4	10
"YDR363W"	3	2	2	0	2	3
"YGR266W"	6	6	7	3	9	9
"YLR443W"	5	4	5	2	3	2
"YPL147W"	0	2	2	23	36	30
"YAL034C"	1	5	2	9	9	10
"YBR067C"	3	1	1	110	131	139
"YCR095C"	3	6	4	1	2	5
"YLR270W"	9	6	5	9	14	11
"YPR084W"	1	2	0	4	3	6
"YBR184W"	2	2	0	2	3	1
"YMR113W"	7	6	4	0	7	3
"YGR035C"	3	1	1	1	1	0
"YDL222C"	1	1	0	11	19	19
"YCL008C"	5	2	2	2	2	5
"YEL065W"	1	6	0	8	1	1
"YNL335W"	0	0	0	2	0	1
"YMR296C"	24	31	20	7	15	9
"YDR232W"	20	22	10	13	14	16
"YGR190C"	0	3	1	0	0	1
"YHR116W"	2	2	1	3	2	2
"YDR313C"	0	4	1	10	7	11
"YFR018C"	5	3	3	2	3	7
"YKL007W"	9	7	7	8	15	7
"YIL048W"	19	18	11	2	9	14
"YDL213C"	5	21	11	5	5	9
"YDR443C"	1	10	9	10	4	5
"YNL292W"	7	8	9	3	6	7
"YKL183C-A"	0	0	0	0	0	0
"YOR324C"	0	4	1	4	2	7
"YNL134C"	20	27	21	7	7	17
"YKL100C"	22	14	17	10	20	24
"YOR192C-B"	50	49	39	24	29	24
"YPL021W"	0	0	0	0	0	0
"YIL146C"	3	4	2	9	7	15
"YLR299C-A"	0	0	0	0	0	0
"YNL218W"	1	1	5	5	3	2
"YIL121W"	0	0	0	2	1	1
"YNL228W"	0	0	0	0	0	0
"YDL167C"	16	14	16	5	9	7
"YPL214C"	2	7	7	11	7	8
"YOR228C"	2	2	2	2	3	6
"YBR270C"	3	0	0	0	1	3
"YGR222W"	6	5	3	3	3	6
"YEL063C"	16	27	22	12	13	14
"YAL068W-A"	0	0	0	0	0	0
"YML020W"	5	9	4	6	3	2
"YGR121C"	10	14	11	14	22	23
"YBR222C"	6	6	5	25	23	29
"YDL095W"	43	59	42	18	15	24
"YDL003W"	16	10	14	3	6	3
"YOR323C"	14	33	19	6	8	19
"YMR183C"	11	25	16	3	5	9
"YOR274W"	5	6	1	3	4	6
"YER146W"	0	0	2	0	1	1
"YML075C"	34	56	37	31	38	52
"YOL035C"	0	0	1	1	1	0
"YPL063W"	13	29	20	8	14	16
"YDR457W"	17	38	34	19	16	19
"YLR273C"	2	1	2	4	11	6
"YDR181C"	6	8	5	7	7	7
"YLR434C"	0	1	0	0	1	0
"YGL097W"	12	18	21	4	11	13
"YCL056C"	5	0	4	2	8	4
"YJL083W"	1	3	1	1	5	4
"YMR242W-A"	0	0	0	0	0	0
"YOR026W"	8	5	6	5	2	7
"YPL140C"	9	4	3	5	5	5
"YNR016C"	153	218	136	299	321	368
"YER123W"	5	11	12	3	8	4
"YGR055W"	27	22	20	11	8	10
"YKR054C"	15	16	20	5	9	18
"YMR315W"	11	11	8	11	15	26
"YAL024C"	10	7	5	3	7	1
"YKL202W"	0	0	1	1	1	0
"YKL187C"	3	3	2	36	49	73
"YDR383C"	1	1	0	3	0	6
"YDR396W"	1	0	1	0	0	0
"YGR115C"	0	0	0	0	0	0
"YKL055C"	1	0	1	0	2	0
"YDR035W"	21	31	17	24	25	32
"YBL062W"	0	0	0	1	0	0
"YHR160C"	0	1	0	2	7	4
"YGR047C"	8	12	7	0	6	11
"YDR119W"	24	41	19	9	12	8
"YBR208C"	10	12	6	10	14	25
"YER151C"	11	19	16	9	10	6
"YLR070C"	0	0	0	4	11	9
"YPR019W"	22	12	9	9	14	8
"YPL228W"	7	12	4	5	3	8
"YPR190C"	8	14	14	5	8	8
"YGR041W"	5	9	4	3	4	5
"YDR353W"	31	37	30	7	14	15
"YHR097C"	4	6	6	14	13	17
"YPL047W"	0	1	1	0	0	3
"YPL014W"	1	1	3	1	3	4
"YGR007W"	6	10	6	4	8	3
"YML116W"	43	62	33	7	10	9
"YOL137W"	4	9	3	2	2	9
"YGL155W"	5	7	5	3	3	6
"YER061C"	11	10	3	6	4	4
"YKL214C"	2	6	0	1	4	5
"YPL119C"	0	3	1	4	6	10
"YDL125C"	13	19	13	10	18	16
"YHR186C"	15	7	7	3	8	9
"YKL011C"	3	5	3	2	4	3
